"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Dev\SIXFL\src\app\admin\email-templates\[id]\page.tsx", "TypeScript JSX", 0, 50, 0, 3, 8, 61
"d:\Dev\SIXFL\src\app\admin\email-templates\actions.ts", "TypeScript", 142, 0, 0, 3, 31, 176
"d:\Dev\SIXFL\src\app\admin\email-templates\new\page.tsx", "TypeScript JSX", 0, 29, 0, 3, 5, 37
"d:\Dev\SIXFL\src\app\admin\email-templates\page.tsx", "TypeScript JSX", 0, 193, 0, 3, 26, 222
"d:\Dev\SIXFL\src\app\admin\fixtures\actions.ts", "TypeScript", 257, 0, 0, 8, 74, 339
"d:\Dev\SIXFL\src\app\admin\fixtures\generate\page.tsx", "TypeScript JSX", 0, 188, 0, 10, 18, 216
"d:\Dev\SIXFL\src\app\admin\fixtures\page.tsx", "TypeScript JSX", 0, 252, 0, 9, 30, 291
"d:\Dev\SIXFL\src\app\admin\layout.tsx", "TypeScript JSX", 0, 22, 0, 3, 5, 30
"d:\Dev\SIXFL\src\app\admin\leads\[id]\actions.ts", "TypeScript", 237, 0, 0, 3, 46, 286
"d:\Dev\SIXFL\src\app\admin\leads\[id]\page.tsx", "TypeScript JSX", 0, 381, 0, 3, 56, 440
"d:\Dev\SIXFL\src\app\admin\leads\actions.ts", "TypeScript", 191, 0, 0, 15, 41, 247
"d:\Dev\SIXFL\src\app\admin\leads\convert-action-state.ts", "TypeScript", 8, 0, 0, 3, 2, 13
"d:\Dev\SIXFL\src\app\admin\leads\convert-actions.ts", "TypeScript", 210, 0, 0, 3, 41, 254
"d:\Dev\SIXFL\src\app\admin\leads\import\actions.ts", "TypeScript", 228, 0, 0, 3, 54, 285
"d:\Dev\SIXFL\src\app\admin\leads\import\page.tsx", "TypeScript JSX", 0, 42, 0, 3, 8, 53
"d:\Dev\SIXFL\src\app\admin\leads\page.tsx", "TypeScript JSX", 0, 1136, 0, 3, 106, 1245
"d:\Dev\SIXFL\src\app\admin\leagues\actions.ts", "TypeScript", 95, 0, 0, 1, 27, 123
"d:\Dev\SIXFL\src\app\admin\leagues\page.tsx", "TypeScript JSX", 0, 177, 0, 1, 22, 200
"d:\Dev\SIXFL\src\app\admin\page.tsx", "TypeScript JSX", 0, 51, 0, 4, 9, 64
"d:\Dev\SIXFL\src\app\admin\results\page.tsx", "TypeScript JSX", 0, 70, 0, 1, 11, 82
"d:\Dev\SIXFL\src\app\admin\teams\[id]\edit\page.tsx", "TypeScript JSX", 0, 261, 0, 3, 37, 301
"d:\Dev\SIXFL\src\app\admin\teams\actions.ts", "TypeScript", 108, 0, 0, 3, 34, 145
"d:\Dev\SIXFL\src\app\admin\teams\new\page.tsx", "TypeScript JSX", 0, 92, 0, 3, 10, 105
"d:\Dev\SIXFL\src\app\admin\teams\page.tsx", "TypeScript JSX", 0, 161, 0, 3, 22, 186
"d:\Dev\SIXFL\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 5, 0, 0, 3, 4, 12
"d:\Dev\SIXFL\src\app\api\auth\check-email\route.ts", "TypeScript", 14, 0, 0, 3, 5, 22
"d:\Dev\SIXFL\src\app\api\contact\route.ts", "TypeScript", 132, 0, 0, 4, 22, 158
"d:\Dev\SIXFL\src\app\auth\verify-request\page.tsx", "TypeScript JSX", 0, 25, 0, 3, 6, 34
"d:\Dev\SIXFL\src\app\claim\page.tsx", "TypeScript JSX", 0, 103, 0, 3, 22, 128
"d:\Dev\SIXFL\src\app\contact\page.tsx", "TypeScript JSX", 0, 285, 0, 6, 34, 325
"d:\Dev\SIXFL\src\app\dashboard\SignOutButton.tsx", "TypeScript JSX", 0, 12, 0, 0, 2, 14
"d:\Dev\SIXFL\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 53, 0, 3, 7, 63
"d:\Dev\SIXFL\src\app\faq\page.tsx", "TypeScript JSX", 0, 175, 0, 3, 33, 211
"d:\Dev\SIXFL\src\app\founding-teams\page.tsx", "TypeScript JSX", 0, 194, 0, 3, 28, 225
"d:\Dev\SIXFL\src\app\globals.css", "PostCSS", 0, 0, 49, 5, 8, 62
"d:\Dev\SIXFL\src\app\layout.tsx", "TypeScript JSX", 0, 34, 0, 3, 5, 42
"d:\Dev\SIXFL\src\app\league-agreement\page.tsx", "TypeScript JSX", 0, 120, 0, 3, 22, 145
"d:\Dev\SIXFL\src\app\league-rules\page.tsx", "TypeScript JSX", 0, 96, 0, 3, 18, 117
"d:\Dev\SIXFL\src\app\leagues\[slug]\actions.ts", "TypeScript", 49, 0, 0, 3, 9, 61
"d:\Dev\SIXFL\src\app\leagues\[slug]\page.tsx", "TypeScript JSX", 0, 272, 0, 9, 34, 315
"d:\Dev\SIXFL\src\app\leagues\manage\[id]\page.tsx", "TypeScript JSX", 0, 253, 0, 1, 22, 276
"d:\Dev\SIXFL\src\app\leagues\page.tsx", "TypeScript JSX", 0, 171, 0, 3, 14, 188
"d:\Dev\SIXFL\src\app\leagues\thanks\page.tsx", "TypeScript JSX", 0, 20, 0, 3, 3, 26
"d:\Dev\SIXFL\src\app\login\check-email\page.tsx", "TypeScript JSX", 0, 37, 0, 3, 8, 48
"d:\Dev\SIXFL\src\app\login\page.tsx", "TypeScript JSX", 0, 83, 0, 3, 17, 103
"d:\Dev\SIXFL\src\app\match-rules\page.tsx", "TypeScript JSX", 0, 135, 0, 3, 30, 168
"d:\Dev\SIXFL\src\app\page.tsx", "TypeScript JSX", 0, 425, 0, 14, 46, 485
"d:\Dev\SIXFL\src\app\pricing\page.tsx", "TypeScript JSX", 0, 220, 0, 3, 29, 252
"d:\Dev\SIXFL\src\app\providers.tsx", "TypeScript JSX", 0, 5, 0, 1, 2, 8
"d:\Dev\SIXFL\src\app\referee-agreement\page.tsx", "TypeScript JSX", 0, 96, 0, 3, 18, 117
"d:\Dev\SIXFL\src\app\referee\actions.ts", "TypeScript", 89, 0, 0, 1, 20, 110
"d:\Dev\SIXFL\src\app\referee\fixture\[id]\page.tsx", "TypeScript JSX", 0, 244, 0, 1, 29, 274
"d:\Dev\SIXFL\src\app\referee\page.tsx", "TypeScript JSX", 0, 168, 0, 1, 18, 187
"d:\Dev\SIXFL\src\app\register-interest\actions.ts", "TypeScript", 297, 0, 0, 3, 36, 336
"d:\Dev\SIXFL\src\app\register-interest\page.tsx", "TypeScript JSX", 0, 513, 0, 3, 48, 564
"d:\Dev\SIXFL\src\app\register-interest\success\page.tsx", "TypeScript JSX", 0, 54, 0, 4, 10, 68
"d:\Dev\SIXFL\src\app\register-team\RegisterTeamClient.tsx", "TypeScript JSX", 0, 406, 0, 3, 49, 458
"d:\Dev\SIXFL\src\app\register-team\actions.ts", "TypeScript", 56, 0, 0, 3, 10, 69
"d:\Dev\SIXFL\src\app\register-team\page.tsx", "TypeScript JSX", 0, 9, 0, 3, 3, 15
"d:\Dev\SIXFL\src\app\register-team\success\page.tsx", "TypeScript JSX", 0, 37, 0, 3, 7, 47
"d:\Dev\SIXFL\src\app\safeguarding\anti-bullying\page.tsx", "TypeScript JSX", 0, 113, 0, 3, 17, 133
"d:\Dev\SIXFL\src\app\safeguarding\code-of-conduct\page.tsx", "TypeScript JSX", 0, 104, 0, 11, 25, 140
"d:\Dev\SIXFL\src\app\safeguarding\page.tsx", "TypeScript JSX", 0, 90, 0, 3, 15, 108
"d:\Dev\SIXFL\src\app\safeguarding\reporting-concerns\page.tsx", "TypeScript JSX", 0, 94, 0, 9, 20, 123
"d:\Dev\SIXFL\src\app\safeguarding\safeguarding-policy\page.tsx", "TypeScript JSX", 0, 39, 0, 3, 14, 56
"d:\Dev\SIXFL\src\app\venues\page.tsx", "TypeScript JSX", 0, 269, 0, 8, 24, 301
"d:\Dev\SIXFL\src\auth.ts", "TypeScript", 72, 0, 0, 3, 17, 92
"d:\Dev\SIXFL\src\components\admin\AdminButton.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 14
"d:\Dev\SIXFL\src\components\admin\AdminCard.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 14
"d:\Dev\SIXFL\src\components\admin\AdminField.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 29
"d:\Dev\SIXFL\src\components\admin\AdminSelect.tsx", "TypeScript JSX", 0, 131, 0, 3, 15, 149
"d:\Dev\SIXFL\src\components\admin\AdminSidebar.tsx", "TypeScript JSX", 0, 65, 0, 3, 13, 81
"d:\Dev\SIXFL\src\components\admin\ConfirmDeleteButton.tsx", "TypeScript JSX", 0, 22, 0, 1, 2, 25
"d:\Dev\SIXFL\src\components\admin\CopyToClipboardButton.tsx", "TypeScript JSX", 0, 22, 0, 1, 2, 25
"d:\Dev\SIXFL\src\components\admin\TeamBadge.tsx", "TypeScript JSX", 0, 111, 0, 4, 10, 125
"d:\Dev\SIXFL\src\components\admin\email-templates\EmailTemplateForm.tsx", "TypeScript JSX", 0, 591, 0, 3, 72, 666
"d:\Dev\SIXFL\src\components\admin\leads\BulkLeadEmailForm.tsx", "TypeScript JSX", 0, 80, 0, 14, 17, 111
"d:\Dev\SIXFL\src\components\admin\leads\ConvertLeadToTeamButton.tsx", "TypeScript JSX", 0, 76, 0, 3, 15, 94
"d:\Dev\SIXFL\src\components\admin\leads\DeleteLeadButton.tsx", "TypeScript JSX", 0, 48, 0, 3, 13, 64
"d:\Dev\SIXFL\src\components\admin\leads\ImportLeadsForm.tsx", "TypeScript JSX", 0, 80, 0, 3, 12, 95
"d:\Dev\SIXFL\src\components\admin\leads\LeadEmailForm.tsx", "TypeScript JSX", 0, 180, 0, 15, 33, 228
"d:\Dev\SIXFL\src\components\admin\leads\TemplateSelect.tsx", "TypeScript JSX", 0, 106, 0, 3, 10, 119
"d:\Dev\SIXFL\src\components\analytics\AnalyticsProvider.tsx", "TypeScript JSX", 0, 11, 0, 3, 3, 17
"d:\Dev\SIXFL\src\components\analytics\TrackedLink.tsx", "TypeScript JSX", 0, 34, 0, 3, 4, 41
"d:\Dev\SIXFL\src\components\layout\SiteFooter.tsx", "TypeScript JSX", 0, 158, 0, 11, 26, 195
"d:\Dev\SIXFL\src\components\layout\SiteHeader.tsx", "TypeScript JSX", 0, 348, 0, 3, 35, 386
"d:\Dev\SIXFL\src\lib\admin.ts", "TypeScript", 41, 0, 0, 3, 11, 55
"d:\Dev\SIXFL\src\lib\analytics.ts", "TypeScript", 11, 0, 0, 3, 3, 17
"d:\Dev\SIXFL\src\lib\email.ts", "TypeScript", 23, 0, 0, 3, 6, 32
"d:\Dev\SIXFL\src\lib\emailTemplates.ts", "TypeScript", 112, 0, 0, 15, 19, 146
"d:\Dev\SIXFL\src\lib\email\buildEmail.ts", "TypeScript", 142, 0, 0, 3, 14, 159
"d:\Dev\SIXFL\src\lib\leagueTable.ts", "TypeScript", 103, 0, 0, 1, 19, 123
"d:\Dev\SIXFL\src\lib\prisma.ts", "TypeScript", 4, 0, 0, 0, 3, 7
"d:\Dev\SIXFL\src\lib\requireAdmin.ts", "TypeScript", 35, 0, 0, 4, 10, 49
"Total", "-", 2661, 10179, 49, 364, 1900, 15153
